"ItemID","Subject","ItemGrade","PoolGrade","Claim","Target","DOK","StimID","AsmtType","ItemType","Calculator","IRT_A","IRT_B","IRT_C","IRT_Step1","IRT_Step2","IRT_Step3","IRT_Step4","IRT_Step5","IRT_Step6","IRT_Step7","IRT_Step8","Braille","Translation","ExtPool","SpaErrors"
"1912","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.26838,-2.24776,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1914","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.1786,-1.77276,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1916","Math",3,3,1,"A",1,NA,"CAT","eq","No",0.93756,-1.40168,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1918","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.25464,-1.32727,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1920","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.18001,-1.39828,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1922","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.32935,-1.83884,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1924","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.07977,-1.43475,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF",NA,0,1
"1926","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.35986,-1.76508,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1928","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.52053,-1.28768,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1932","Math",3,3,1,"A",1,NA,"CAT","eq","No",1.23029,-1.30191,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1934","Math",3,3,4,"E",3,NA,"CAT","eq","No",0.93084,-0.1285,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1936","Math",3,3,4,"E",3,NA,"CAT","eq","No",1.01617,0.17337,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1938","Math",3,3,4,"E",3,NA,"CAT","eq","No",1.0377,-0.16961,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1940","Math",3,3,4,"E",3,NA,"CAT","eq","No",0.84371,0.12874,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1942","Math",3,3,4,"E",3,NA,"CAT","eq","No",1.12166,-0.27569,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1944","Math",3,3,4,"E",3,NA,"CAT","eq","No",0.88998,0.22105,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1946","Math",3,3,4,"E",3,NA,"CAT","eq","No",1.01003,0.36705,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1948","Math",3,3,4,"E",3,NA,"CAT","eq","No",1.00807,0.13099,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1950","Math",3,3,4,"E",3,NA,"CAT","eq","No",1.11674,0.39953,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1952","Math",3,3,4,"E",3,NA,"CAT","eq","No",0.85514,0.48456,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1954","Math",3,3,4,"E",3,NA,"CAT","eq","No",0.95816,0.26742,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1956","Math",3,3,4,"E",3,NA,"CAT","eq","No",0.9654,0.18942,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1958","Math",3,3,4,"E",3,NA,"CAT","eq","No",1.00312,0.23589,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"1960","Math",3,3,4,"E",3,NA,"CAT","eq","No",0.84275,0.38758,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1962","Math",3,3,4,"E",3,NA,"CAT","eq","No",0.98828,0.28617,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"1964","Math",3,3,4,"E",3,NA,"CAT","eq","No",0.93391,0.33318,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2888","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.0879,-1.84165,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2890","Math",3,3,2,"A",2,NA,"CAT","eq","No",0.8187,-2.17187,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"2892","Math",3,3,2,"A",2,NA,"CAT","eq","No",0.89516,-2.15753,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2894","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.30207,-1.239,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2896","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.10351,-1.46302,0,0,NA,NA,NA,NA,NA,NA,NA,"Not Braillable","spa",0,0
"2898","Math",3,3,2,"A",2,NA,"CAT","eq","No",0.99785,-0.05353,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"2900","Math",3,3,2,"A",2,NA,"CAT","eq","No",0.7126,-1.38936,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2902","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.0826,-1.41407,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2904","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.07618,-0.64072,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2906","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.01033,-0.51476,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2908","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.12034,-0.19069,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2910","Math",3,3,2,"A",2,NA,"CAT","eq","No",0.81273,-0.56428,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2912","Math",3,3,2,"A",2,NA,"CAT","eq","No",0.84178,-0.704,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2914","Math",3,3,2,"A",2,NA,"CAT","eq","No",0.65698,-0.79639,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2916","Math",3,3,2,"A",2,NA,"CAT","eq","No",0.88339,0.14619,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2918","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.0372,-0.03121,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2920","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.24007,-0.43953,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2922","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.29028,-0.45454,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2924","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.39371,-0.24877,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2926","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.47345,-0.67605,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"2928","Math",3,3,2,"A",2,NA,"CAT","eq","No",0.68554,-0.22028,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF",NA,0,0
"2930","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.36587,-0.3748,0,0,NA,NA,NA,NA,NA,NA,NA,"",NA,0,0
"2932","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.36761,-0.97271,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2934","Math",3,3,2,"A",2,NA,"CAT","eq","No",1.25966,-0.60854,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
"2936","Math",3,3,2,"B",2,NA,"CAT","eq","No",1.20228,-1.47794,0,0,NA,NA,NA,NA,NA,NA,NA,"PRN","spa",0,0
"2938","Math",3,3,2,"B",2,NA,"CAT","eq","No",1.15679,-1.00914,0,0,NA,NA,NA,NA,NA,NA,NA,"PRN","spa",0,0
"2940","Math",3,3,2,"B",2,NA,"CAT","eq","No",1.05374,-0.3882,0,0,NA,NA,NA,NA,NA,NA,NA,"PRN","spa",0,1
"2942","Math",3,3,1,"G",2,NA,"CAT","eq","No",0.94363,-0.07509,0,0,NA,NA,NA,NA,NA,NA,NA,"BRF","spa",0,0
